name,profile,kind,cache_key,repo,ref,subpath,platform
eryu-share-studio,core,local,eryu-skills,,,skills/eryu-share-studio,all
eryu-dynamic-web-publisher,core,local,eryu-skills,,,skills/eryu-dynamic-web-publisher,all
dida-feishu-light-sync,core,local,eryu-skills,,,skills/dida-feishu-light-sync,all
github-kb,core,local,eryu-skills,,,skills/github-kb,all
eryu-task-writeback,core,local,eryu-skills,,,skills/eryu-task-writeback,all
frontend-slides,core,git,frontend-slides,https://github.com/zarazhangrui/frontend-slides.git,main,.,all
image-assistant,content,git,yunshu-skillshub,https://github.com/yunshu0909/yunshu_skillshub.git,master,image-assistant,all
lesson-builder,content,git,yunshu-skillshub,https://github.com/yunshu0909/yunshu_skillshub.git,master,lesson-builder,all
prd-doc-writer,content,git,yunshu-skillshub,https://github.com/yunshu0909/yunshu_skillshub.git,master,prd-doc-writer,all
project-map-builder,content,git,yunshu-skillshub,https://github.com/yunshu0909/yunshu_skillshub.git,master,project-map-builder,all
req-change-workflow,content,git,yunshu-skillshub,https://github.com/yunshu0909/yunshu_skillshub.git,master,req-change-workflow,all
thought-mining,content,git,yunshu-skillshub,https://github.com/yunshu0909/yunshu_skillshub.git,master,thought-mining,all
version-planner,content,git,yunshu-skillshub,https://github.com/yunshu0909/yunshu_skillshub.git,master,version-planner,all
writing-assistant,content,git,yunshu-skillshub,https://github.com/yunshu0909/yunshu_skillshub.git,master,writing-assistant,all
humanizer-zh,content,git,humanizer-zh,https://github.com/op7418/Humanizer-zh.git,main,.,all
codebase-to-course,content,git,codebase-to-course,https://github.com/zarazhangrui/codebase-to-course.git,main,.,all
video-note-maker,content,git,video-note-maker,https://github.com/12996/video-note-maker.git,main,.,all
chatgpt-batch-image,content,git,chatgpt-batch-image,https://github.com/sealofyou/chatgpt-batch-image-skill.git,main,.,all
gemini-batch-image,content,git,gemini-batch-image,https://github.com/sealofyou/gemini-batch-image-skill.git,main,.,all
gpt-image2-ppt-skills,slides,git,gpt-image2-ppt-skills,https://github.com/JuneYaooo/gpt-image2-ppt-skills.git,main,.,all
guizang-ppt-skill,slides,git,guizang-ppt-skill,https://github.com/op7418/guizang-ppt-skill.git,main,.,all
ui-ux-pro-max,design,git,ui-ux-pro-max,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill.git,main,.claude/skills/ui-ux-pro-max,all
project-harness-bootstrap,tools,git,project-harness-bootstrap,https://github.com/sealofyou/project-harness-bootstrap.git,main,.,all
modelscope-deploy,tools,git,modelscope-deploy,https://github.com/sealofyou/modelscope-deploy.git,master,.,all
jianying-editor,media,git,jianying-editor,https://github.com/luoluoluo22/jianying-editor-skill.git,main,.,all
apple-hide-my-email,tools,local,eryu-skills,,,skills/apple-hide-my-email,macos
